ID,Tweet,Created_at,Location,Geo_coordinates,Followers_for_the_user,Friends,Sentiment_analysis
1070802692908466177,"RT @MsMollyRachael: Hillary Clinton stood in the heat for 90 mins w/pneumonia to honor those lost on 9/11, almost passing out

Trump, who c…",2018-12-06 22:10:31,,None,629,1890,0.0
1070802692744888320,That was the perfect answer. #SocialismSucks,2018-12-06 22:10:31,"Florida, USA",None,7940,7798,1.0
1070802693193641984,RT @LaylaAlisha11: Rosie O’Donnell Says President Trump Should ‘Rot In Jail’ For Simply Answering A Reporters Question. These Celebrities w…,2018-12-06 22:10:31,South Carolina,None,12064,11140,-0.05
1070802693227196422,"RT @ezraklein: ""In the long run, the GOP’s turn against democracy could well be a greater threat to the American experiment than anything P…",2018-12-06 22:10:31,"Indiana, USA",None,153,394,0.15
1070802693642510337,"@TheNoahRing Trump, Ronnie and probably someone that has been dead for a century.",2018-12-06 22:10:31,,None,2414,4026,-0.2
1070802693692710912,"RT @DanRather: Trump apparently shrugged off coming debt crisis with ""Yeah, but I won't be here."" Sadly that sentiment could also apply to…",2018-12-06 22:10:31,"SL, UT",None,1433,1195,-0.225
1070802693797625856,"RT @ddale8: With 59 false claims, last Monday was the second-most-dishonest day of Trump's presidency. The record was the day before the mi…",2018-12-06 22:10:31,"Oakville, Ontario",None,221,697,-0.20000000000000004
1070802693961199616,"RT @kylegriffin1: Trump and the NRA used the same consultants to spearhead TV ad blitzes during the '16 election, possibly in violation of…",2018-12-06 22:10:31,,None,8590,9425,0.0
1070802694246490112,RT @T_S_P_O_O_K_Y: London Center Senior Fellow Anthony Shaffer's latest editorial out today...Weakness is something you dare not show to yo…,2018-12-06 22:10:31,United States,None,789,1486,0.2
1070802694170787840,"RT @mkraju: Positive signal to Trump from a top Dem about the prospect of picking William Barr for attorney general. 
“I saw him yesterday…",2018-12-06 22:10:31,"Brockton, Ross Ice Shelf",None,2126,4864,0.2590909090909091
1070802694238072832,RT @JayValenz67: Pelosi calls for one-year spending bill for Homeland Security in wall fight -Pelosi said she's not open to a deal on borde…,2018-12-06 22:10:31,U.S SAYS F🖕CK TRUMP🌊🌊,None,20322,21402,0.0
1070802694674268165,RT @marclacey: Scoop: an undocumented immigrant from Guatemala has been making President Trump’s bed. https://t.co/J2Df26KJ1H,2018-12-06 22:10:31,,None,2152,4999,0.0
1070802694946897920,@EricTrump @TrumpDoral @Trump @TrumpGolf Take a picture. You’ll need it to decorate your prison cell!,2018-12-06 22:10:31,"Mississippi, USA",None,0,58,0.0
1070802695194333185,"RT @krassenstein: Trump's selection for the next attorney general, who right now appears to be William Barr, has absolutely nothing to do w…",2018-12-06 22:10:31,Lewes DE,None,3869,4998,0.13392857142857145
1070802695294992385,"RT @wesley_jordan: Giuliani absolutely skewered Trump while describing how insanely hard it was for the ""stable genius"" to answer Mueller's…",2018-12-06 22:10:31,,None,3822,4478,-0.04583333333333334
1070802695399841792,RT @RawStory: Amal Clooney’s passionate UN speech blasts Trump for attacks on the media while journalists are being assassinated https://t.…,2018-12-06 22:10:31,,None,3688,5000,-0.05
1070802695760556032,"RT @joncoopertweets: Documents Point to Illegal Campaign Coordination Between Trump and the NRA

Trump and the gun group used the same cons…",2018-12-06 22:10:31,"Manhattan, NY",None,90,339,-0.25
1070802695634763778,"RT @SassyKadiK: To those of you criticizing Hillary for not acknowledging Trump, fuck that.
Damn lucky she didn't knock him into next week.",2018-12-06 22:10:31,New Jersey,None,171,402,-0.022222222222222237
1070802696138080261,"RT @MollyJongFast: “She preaches a doctrine thick with “empowerment” and “training for the future” but has nothing to show for it.” 

Read…",2018-12-06 22:10:31,"Bethesda, MD",None,752,851,-0.15000000000000002
1070802696263876609,Don't forget #Trump accountant AlanW received immunity to tell the truth on this corrupt family. Years of bad busin… https://t.co/D3Z66c2QEK,2018-12-06 22:10:31,Newark Delaware,None,349,999,-0.5999999999999999
1070802696314056705,Here's why Donald Trump could easily go down in history as a worse traitor than Benedict Arnold https://t.co/2yUvHAG0M4,2018-12-06 22:10:32,,None,8498,5034,-0.2777777777777778
1070802696389750784,RT @TrinityResists: President Obama left over 100 open fed judicial seats vacant—bc McConnell blocked and refused to hold confirm hearings…,2018-12-06 22:10:32,"North Carolina, USA",None,3065,3384,0.0
1070802696301699072,RT @WashTimes: Jeb Bush: 'Gracious' Trump 'couldn't have been nicer' after my father's death https://t.co/5PoGArBzo5,2018-12-06 22:10:32,"Covfefe (pre-Flood: ""In the End, WE WIN!"")",None,3087,5000,0.0
1070802696515526656,#Hannity @seanhannity @GreggJarrett With what we now know about abuses of FISA Warrant procedures &amp; use of wiretaps… https://t.co/I5SVztMsB0,2018-12-06 22:10:32,"Massachusetts, U.S.A.",None,1117,1912,0.0
1070802696578289664,RT @fred_guttenberg: The evidence keeps growing of illegal coordination between Trump and the NRA.  It is time for the NRA to lose its tax…,2018-12-06 22:10:32,"Mesa, AZ",None,4342,3450,-0.5
1070802696897265664,"RT @franceinfoplus: Que contient le Pacte mondial de Marrakech sur la migration, attaqué par Trump et les extrêmes droites?

https://t.co/Y…",2018-12-06 22:10:32,PARIS France,None,440,921,0.0
